City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Japura,ID,2021-12-23 23:34:26,-0.3167,102.35,74.28,97,87,1.95
123,Sinnamary,GF,2021-12-23 23:34:26,5.3833,-52.95,77.72,90,100,12.01
124,Harper,LR,2021-12-23 23:34:27,4.375,-7.7169,80.01,81,12,9.8
125,Khatanga,RU,2021-12-23 23:34:27,71.9667,102.5,-13.31,88,94,8.14
126,Bereda,ES,2021-12-23 23:34:28,43.2686,-7.5406,51.91,50,30,9.24
127,Kavieng,PG,2021-12-23 23:34:28,-2.5744,150.7967,81.39,79,100,12.68
128,Ambulu,ID,2021-12-23 23:34:29,-8.345,113.6058,79.27,83,96,1.41
129,Eureka,US,2021-12-23 23:29:46,40.8021,-124.1637,53.2,95,36,7.0
130,Tuktoyaktuk,CA,2021-12-23 23:30:26,69.4541,-133.0374,-4.0,71,90,18.41
131,Westport,US,2021-12-23 23:29:50,41.1415,-73.3579,34.75,54,1,1.99
132,Lebu,CL,2021-12-23 23:31:02,-37.6167,-73.65,56.82,82,11,19.44
133,Igarka,RU,2021-12-23 23:34:30,67.4667,86.5833,6.39,93,100,17.45
134,Bengkulu,ID,2021-12-23 23:31:14,-3.8004,102.2655,75.34,88,88,4.07
135,Mehamn,NO,2021-12-23 23:35:30,71.0357,27.8492,25.92,69,100,20.24
136,Broken Hill,AU,2021-12-23 23:31:23,-31.95,141.4333,85.71,14,3,12.66
137,Tan An,VN,2021-12-23 23:35:31,10.5333,106.4167,75.22,87,100,3.65
138,Kavaratti,IN,2021-12-23 23:35:31,10.5669,72.642,78.69,69,9,3.94
139,Araouane,ML,2021-12-23 23:35:32,18.9048,-3.5265,66.45,27,45,11.81
140,Barrow,US,2021-12-23 23:35:32,71.2906,-156.7887,-5.78,77,90,17.27
141,Richards Bay,ZA,2021-12-23 23:35:33,-28.783,32.0377,68.16,91,99,10.54
142,Hudiksvall,SE,2021-12-23 23:35:33,61.729,17.1036,16.52,56,50,12.64
143,Marystown,CA,2021-12-23 23:31:23,47.1666,-55.1483,34.86,100,100,8.99
144,Faya,SA,2021-12-23 23:35:34,18.3851,42.4509,54.12,57,4,5.91
145,Vila Velha,BR,2021-12-23 23:32:27,-20.3297,-40.2925,75.15,87,90,11.01
146,Karlovac,HR,2021-12-23 23:35:34,45.4872,15.5478,45.75,78,98,11.07
147,Ostrovnoy,RU,2021-12-23 23:35:35,68.0531,39.5131,18.18,88,100,12.8
148,East London,ZA,2021-12-23 23:35:35,-33.0153,27.9116,62.02,83,97,4.68
149,Yulara,AU,2021-12-23 23:35:36,-25.2406,130.9889,84.04,37,96,6.91
150,Nome,US,2021-12-23 23:35:36,64.5011,-165.4064,-7.53,84,1,0.0
151,Bonthe,SL,2021-12-23 23:35:36,7.5264,-12.505,80.02,80,27,6.93
152,Nipawin,CA,2021-12-23 23:35:37,53.3668,-104.0009,8.64,85,90,11.5
153,Guerrero Negro,MX,2021-12-23 23:35:37,27.9769,-114.0611,67.55,51,100,11.65
154,Trzcianka,PL,2021-12-23 23:35:38,53.0406,16.4563,30.61,98,100,8.55
155,Shache,CN,2021-12-23 23:35:38,38.4167,77.2406,30.15,47,100,3.8
